"","essround","cntry","polintr","trstprl","trstplt","trstep","vote","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","clsprty","stfdem","gndr","eisced","uempla","uempli","dsbld","mainact","pdjobev","wrkctra","mbtru"
"2956",7,"BE","Quite interested","2","No trust at all","5","Yes","Yes","No","No","No","Yes","No","Yes","Yes","6","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2959",7,"BE","Hardly interested","3","3","4","Yes","No","No","No","No","No","No","No","No","4","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","Yes, currently"
"2975",7,"BE","Not at all interested","6","4","5","Yes","No","No","No","No","Yes","No","No","No","4","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"2982",7,"BE","Quite interested","5","5","6","Yes","No","No","No","Yes","No","No","No","Yes","8","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"2986",7,"BE","Hardly interested","6","3","6","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","4","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","Yes, currently"
"2992",7,"BE","Not at all interested","5","5","5","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Marked","Not marked","Other","Yes","Limited","No"
"2999",7,"BE","Quite interested","6","6","6","Yes","No","No","Yes","No","No","Yes","No","Yes","5","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"3007",7,"BE","Hardly interested","5","4","6","Yes","No","No","No","No","No","No","No","Yes","7","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"3010",7,"BE","Quite interested","4","2","3","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","7","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"3016",7,"BE","Not at all interested","4","2","6","Yes","No","No","No","No","Yes","No","No","Yes","4","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"3027",7,"BE","Hardly interested","3","2","7","Yes","Yes","Yes","No","No","No","No","Yes","Yes","7","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"3031",7,"BE","Quite interested","No trust at all","5","5","Yes","No","No","No","No","Yes","Yes","No","No","Extremely dissatisfied","Male","ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"3055",7,"BE","Not at all interested","2","No trust at all","2","Yes","Yes","No","No","No","Yes","No","No","No","1","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","Yes, currently"
"3058",7,"BE","Hardly interested","No trust at all","No trust at all","No trust at all","Yes","No","No","No","No","No","No","No","No","2","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Marked","Permanently sick or disabled","Not applicable","Unlimited","Yes, currently"
"3080",7,"BE","Quite interested","3","2","3","Yes","No","No","No","Yes","Yes","No","No","No","Extremely dissatisfied","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"3087",7,"BE","Hardly interested","5","4","5","Not eligible to vote","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","4","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"3094",7,"BE","Hardly interested","5","5","5","Not eligible to vote","No","No","No","No","No","No","No","No","3","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"3116",7,"BE","Quite interested","6","5","5","Yes","No","No","No","No","No","Yes","No","No","6","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"3121",7,"BE","Quite interested","5","5","5","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"3128",7,"BE","Quite interested","5","1","6","Yes","No","No","No","No","Yes","No","Yes","Yes","2","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"3135",7,"BE","Quite interested","6","4","No trust at all","Yes","No","No","No","No","Yes","No","Yes","No","5","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","Yes, currently"
"3137",7,"BE","Not at all interested","No trust at all","No trust at all","3","No","Yes","Yes","No","No","No","Yes","No","No","1","Male","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","Yes","No contract","Yes, previously"
"3146",7,"BE","Hardly interested","3","No trust at all","2","Yes","Yes","No","No","No","No","No","No","Yes","Extremely dissatisfied","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Housework, looking after children, others","Not applicable","Limited","Yes, currently"
"3157",7,"BE","Not at all interested","5","5","5","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"3173",7,"BE","Hardly interested","5","5","6","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"3182",7,"BE","Not at all interested","8","5","8","Yes","No","No","No","No","No","No","No","Yes","8","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"3191",7,"BE","Hardly interested","4","4","6","Yes","No","No","No","No","No","No","No","Yes","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"3198",7,"BE","Quite interested","7","3","6","Yes","Yes","No","No","No","No","No","No","Yes","3","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","Yes, currently"
"3202",7,"BE","Hardly interested","7","7","Don't know","Not eligible to vote","No","No","No","No","No","No","Yes","Yes","7","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"3212",7,"BE","Quite interested","7","4","3","Yes","No","No","No","No","No","No","No","No","7","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"3215",7,"BE","Quite interested","6","5","6","Yes","No","No","No","No","No","No","Yes","Yes","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"3220",7,"BE","Hardly interested","4","4","5","Yes","No","No","No","No","Yes","No","No","Yes","3","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","Yes, currently"
"3229",7,"BE","Quite interested","7","3","8","Yes","No","No","No","No","Yes","No","No","No","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"3243",7,"BE","Very interested","8","7","8","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","7","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"3253",7,"BE","Very interested","7","7","4","Yes","No","No","No","No","Yes","Yes","No","Yes","8","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"3258",7,"BE","Not at all interested","2","No trust at all","6","Yes","No","Yes","No","No","No","No","Yes","Yes","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"3285",7,"BE","Quite interested","7","5","6","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","Yes, currently"
"3289",7,"BE","Hardly interested","7","7","8","Yes","No","No","Yes","No","Yes","No","No","Yes","7","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","Yes, currently"
"3295",7,"BE","Hardly interested","5","5","5","Yes","Yes","No","Yes","No","Yes","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"3311",7,"BE","Hardly interested","6","6","7","Yes","No","No","No","No","No","No","No","No","8","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"3320",7,"BE","Hardly interested","2","5","3","Yes","Yes","No","No","No","No","No","No","No","6","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"3332",7,"BE","Hardly interested","5","5","5","Yes","No","No","No","No","No","No","No","Yes","4","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"3335",7,"BE","Hardly interested","5","5","5","Yes","No","No","No","No","No","No","No","No","4","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"3343",7,"BE","Not at all interested","5","5","5","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"3352",7,"BE","Not at all interested","4","4","5","Yes","No","No","No","No","No","No","No","No","4","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Housework, looking after children, others","Not applicable","Unlimited","Yes, currently"
"3371",7,"BE","Very interested","7","4","8","Yes","No","Yes","No","No","Yes","Yes","No","Yes","3","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","Yes, currently"
"3384",7,"BE","Not at all interested","No trust at all","No trust at all","No trust at all","Yes","Yes","No","Yes","Yes","No","No","No","Yes","1","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Marked","Not marked","Not applicable","Yes","Limited","Yes, currently"
"3395",7,"BE","Quite interested","7","5","5","Yes","No","No","Yes","No","No","No","No","Yes","5","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","Yes, previously"
"3403",7,"BE","Hardly interested","4","2","5","Yes","Yes","No","Yes","No","No","No","No","Yes","5","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"3415",7,"BE","Hardly interested","4","2","4","No","Yes","No","No","No","Yes","No","No","No","Extremely dissatisfied","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"3442",7,"BE","Hardly interested","7","4","8","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"3457",7,"BE","Hardly interested","5","5","5","Yes","No","No","No","No","No","No","No","Yes","5","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"3467",7,"BE","Quite interested","7","6","5","Yes","No","No","No","No","Yes","No","Yes","Yes","7","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"3470",7,"BE","Hardly interested","7","5","8","Yes","No","No","No","No","Yes","No","No","Yes","7","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
